id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_107_cmd_mcp_configure","Cmd_mcp_configure → Items","Cmd_mcp_configure → Items","cross_community",5,"['comm_22','comm_197','comm_285']","Function:hermes_cli/mcp_config.py:cmd_mcp_configure","Function:hermes_cli/nous_subscription.py:NousSubscriptionFeatures.items"
"proc_108_cmd_mcp_configure","Cmd_mcp_configure → Isatty","Cmd_mcp_configure → Isatty","cross_community",5,"['comm_22','comm_23']","Function:hermes_cli/mcp_config.py:cmd_mcp_configure","Function:run_agent.py:_SafeWriter.isatty"
"proc_109_handle_enter","Handle_enter → _is_host_pid_alive","Handle_enter → _is_host_pid_alive","cross_community",5,"['comm_127','comm_103']","Function:cli.py:HermesCLI.handle_enter","Function:tools/process_registry.py:ProcessRegistry._is_host_pid_alive"
"proc_110_llm_audit_skill","Llm_audit_skill → Items","Llm_audit_skill → Items","cross_community",5,"['comm_268','comm_197','comm_285']","Function:tools/skills_guard.py:llm_audit_skill","Function:hermes_cli/nous_subscription.py:NousSubscriptionFeatures.items"
"proc_111_llm_audit_skill","Llm_audit_skill → _get_auxiliary_env_override","Llm_audit_skill → _get_auxiliary_env_override","cross_community",5,"['comm_268','comm_678','comm_200','comm_736']","Function:tools/skills_guard.py:llm_audit_skill","Function:agent/auxiliary_client.py:_get_auxiliary_env_override"
"proc_112_llm_audit_skill","Llm_audit_skill → _get_auxiliary_provider","Llm_audit_skill → _get_auxiliary_provider","cross_community",5,"['comm_268','comm_678','comm_200','comm_736']","Function:tools/skills_guard.py:llm_audit_skill","Function:agent/auxiliary_client.py:_get_auxiliary_provider"
"proc_113_main","Main → Get_hermes_home","Main → Get_hermes_home","cross_community",5,"['comm_440','comm_100','comm_99','comm_117']","Function:scripts/release.py:main","Function:hermes_constants.py:get_hermes_home"
"proc_114_chat","Chat → Has_usable_secret","Chat → Has_usable_secret","cross_community",5,"['comm_125','comm_139','comm_475','comm_474']","Function:cli.py:HermesCLI.chat","Function:hermes_cli/auth.py:has_usable_secret"
"proc_115_chat","Chat → _detect_api_mode_for_url","Chat → _detect_api_mode_for_url","cross_community",5,"['comm_125','comm_139','comm_475','comm_474']","Function:cli.py:HermesCLI.chat","Function:hermes_cli/runtime_provider.py:_detect_api_mode_for_url"
"proc_116_chat","Chat → AuthError","Chat → AuthError","cross_community",5,"['comm_125','comm_139','comm_475','comm_465','comm_572']","Function:cli.py:HermesCLI.chat","Class:hermes_cli/auth.py:AuthError"
